Name,Phone Number,Opening Hours,Does it also have a gym?,Do they also have a sauna?,Ice bath contrast therapy?,Average Reviews (Number of Ratings),Prices,Website,Official Social Account
Fit Athletic Downtown,(619) 762-4008,"Mon-Fri: 5 AM - 10 PM, Sat-Sun: 7 AM - 7 PM",Yes,Yes,Yes,4.5 (318),Membership: $129-$199/month; Day pass: ~$30,www.fitathletic.com,@fitathletic (Instagram)
Conscious Body Recovery,(858) 848-1929,Mon-Sun: 8 AM - 8 PM (by appt),Yes,Yes,Yes,5.0 (12),Single session: $40; Unlimited monthly: $199,san-diego.selfmadetrainingfacility.com,@consciousbodyrecovery (Instagram)
LIVKRAFT,(858) 900-3099,"Mon-Fri: 8 AM - 6 PM, Sat-Sun: 9 AM - 3 PM",No,Yes,Yes,5.0 (54),Single plunge: $35; Sauna + Plunge: $50; Membership: $250/month,www.livkraft.com,@livkraftperformance (Instagram)
Tribe Cold Plunge,(619) 940-6179,Mon-Sun: 7 AM - 7 PM (varies by class),No,No,No,4.9 (28),Drop-in: $25; Membership: $99/month (unlimited plunges),www.tribecoldplunge.com,@tribecoldplunge (Instagram)
Breathe Degrees,(760) 815-9998,"Mon-Fri: 8 AM - 8 PM, Sat-Sun: 8 AM - 6 PM",No,Yes,Yes,4.8 (112),Single session: $45; 5-session pack: $200; Monthly: $250,www.breathedegrees.com,@breathedegrees (Instagram)
Rapid Cold Plunge,Not yet listed,Opening Summer 2025 (TBD),No,Yes,Yes,N/A (not yet open),TBD (Founders Club perks available),www.rapidcoldplunge.com,@rapidcoldplunge (Instagram)
Ocean Pacific Gym,(858) 263-4004,"Mon-Fri: 5 AM - 10 PM, Sat-Sun: 7 AM - 7 PM",Yes,Yes,Yes,4.7 (96),Membership: $99-$150/month; Day pass: $25,www.oceanpacificgym.com,@oceanpacificgym (Instagram)
Pure Infrared Sauna Studio,(619) 940-6868,Mon-Sun: 9 AM - 7 PM (by appt),No,Yes,Yes,4.9 (85),Single contrast session: $50; Monthly unlimited: $300,www.pureinfraredsaunastudio.com,@pureinfraredsaunastudio (Instagram)
Recovery Science Inc,(619) 880-6835,"Mon-Fri: 10 AM - 7 PM, Sat: 10 AM - 5 PM, Sun: Closed",No,Yes,Yes,4.8 (62),Single plunge: $30; Combo (sauna + plunge): $50; Packages vary,www.recoveryscienceinc.com,@recoveryscienceinc (Instagram)
Chill N Out Cryotherapy,(858) 264-3626,"Mon-Fri: 10 AM - 6 PM, Sat-Sun: 10 AM - 4 PM",No,Yes,Yes,4.6 (73),Cold plunge: $25; Contrast therapy: $45; Membership: $200/month,www.chillnout.com,@chillnoutcryo (Instagram)
Motivity,(858) 800-2345,"Mon-Fri: 6 AM - 8 PM, Sat: 8 AM - 2 PM, Sun: Closed",Yes,No,No,4.9 (34),Membership: $100-$150/month; Day pass: $20,www.motivity.fit,@motivity.fit (Instagram)
Point Loma Sports Club,(619) 222-9616,"Mon-Fri: 5 AM - 10 PM, Sat-Sun: 7 AM - 7 PM",Yes,Yes,Yes,4.6 (135),Membership: $99-$149/month; Day pass: $25,www.plsportsclub.com,@pointlomasportsclub (Instagram)
Chiltonic,(619) 916-1888,"Mon-Fri: 10 AM - 7 PM, Sat-Sun: 10 AM - 5 PM",No,No,No,4.7 (89),Single plunge: $25; Packages: $99 for 5 sessions,www.chiltonic.com,@chiltonic (Instagram)
ICE Recovery + Wellness,(619) 363-4016,"Mon-Fri: 9 AM - 6 PM, Sat: 9 AM - 3 PM, Sun: Closed",No,Yes,Yes,4.8 (47),Single session: $35; Monthly unlimited: $225,www.icerecoverynwellness.com,@ice_recovery_wellness (Instagram)
Evolve Human Optimization Labs,(858) 349-8580,"Mon-Fri: 8 AM - 8 PM, Sat-Sun: 9 AM - 5 PM (by appt)",No,Yes,Yes,5.0 (23),Single plunge: $30; Contrast therapy: $50; Membership: $200/month,www.evolvehumanlabs.com,@evolvehumanlabs (Instagram)
